Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
,-0.614690458,-0.587185964,0.419107367,0.338338835,-0.677171944,-0.137504966,-0.105597405,0.232537969,#VALUE!,0.714399397
Fdxh,#VALUE!,#VALUE!,1.384768212,3.444667067,#VALUE!,#VALUE!,1.350893227,1.38758312,#VALUE!,0.720015735
CG9917-RA,1.158337027,0.967389976,0.942082805,1.37517848,0.649385529,0.568518598,0.975189938,1.379898164,#VALUE!,0.722728309
Bet5,#VALUE!,0.991027447,0.545573056,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.740193617
Nup58,-0.154618343,-0.135411691,0.196103398,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.760519037
Csp,0.986374526,1.20720569,1.039699918,1.173575207,1.662706823,2.173958903,0.955015156,1.211697545,#VALUE!,0.807767062
,#VALUE!,1.255802837,1.300358052,1.307545102,1.422986451,#VALUE!,1.586260342,1.261590989,#VALUE!,0.837781812
,0.854394678,#VALUE!,-0.374168442,-0.574089588,#VALUE!,#VALUE!,-0.62602334,-0.45059697,#VALUE!,0.878607646
,-0.408071699,-0.805459024,0.336397656,0.579662897,-1.556138778,-0.467413729,0.472695713,0.757620689,#VALUE!,0.922121715
Mmp1,-1.35812108,-1.193568698,#VALUE!,#VALUE!,-1.075550412,-1.56452075,#VALUE!,#VALUE!,#VALUE!,0.930548119
mRpS22,-0.782545916,-1.171303434,-0.509881745,0.094371211,-0.775120045,-0.987102422,0.063226802,0.136847604,#VALUE!,0.947778352
EG:132E8.3,1.017565643,1.236278303,0.352532557,0.515712452,#VALUE!,#VALUE!,0.430392334,1.001874286,#VALUE!,1.025595836
tsu,0.21971064,0.195851509,0.999494968,0.733007184,0.263034406,-0.076325953,1.002162421,0.750949452,#VALUE!,1.0767643
LSm3,1.033440622,0.847034789,1.324234562,1.117096566,0.277032552,0.129612738,0.929109248,0.87892148,#VALUE!,1.087870133
,0.3934162,0.627513457,-0.752023891,-0.370377599,0.173894961,0.258699816,-0.111804227,-0.41077343,#VALUE!,1.14254414
twr,0.039559557,0.262914176,0.906043966,0.969528122,0.56315813,-0.02539727,0.791188942,1.032241931,0.92189329,1.211884402
,-0.584133189,-0.633837278,0.264356271,0.553950241,-0.737759295,-0.422404403,0.469365054,0.418351888,#VALUE!,1.2174789
Tim8,#VALUE!,#VALUE!,1.183899335,1.132445234,#VALUE!,1.145547036,#VALUE!,0.821220391,#VALUE!,1.30987466
,1.666302128,0.901185494,#VALUE!,0.891263632,1.663936606,0.682033871,#VALUE!,1.012568674,1.312839402,1.314638527
CG34191,0.256286071,0.332622014,0.761370386,0.814509408,0.452384576,0.071762669,0.615322123,0.536251879,#VALUE!,1.376846014
,-0.485559561,-0.728024603,0.200504353,0.276317993,-1.136346946,-1.010483107,0.151469198,0.210264166,#VALUE!,1.37717929
GstE7,2.735912042,#VALUE!,1.510101108,1.52431447,2.166233395,#VALUE!,0.379731849,#VALUE!,#VALUE!,1.380895648
mRpS9,-1.039695887,-1.286726499,-0.047800644,-0.459833826,-1.348390288,-1.581302701,0.032524066,0.048654702,#VALUE!,1.384823459
Tor,0.358508792,0.284987847,#VALUE!,-0.680937055,0.063226802,#VALUE!,-0.557900479,#VALUE!,#VALUE!,1.556944353
mRpL40,-0.39796127,-0.6266469,0.748718834,0.661475991,-1.143181589,-1.372766724,0.792938622,0.455859809,#VALUE!,1.71065768
,1.450907702,0.867501151,1.713915721,1.159177062,0.779974061,0.793188404,1.678973308,1.808096689,#VALUE!,1.891730247
,1.258458623,1.538587825,1.005040617,#VALUE!,0.340733161,0.030971642,0.625738062,0.772054552,0.948600847,2.053632698
