Gene names,Alpha A30P_day_1,Alpha A30P_day_10,Alpha A53T_day_1,Alpha A53T_day_10,Alpha A53T_day_30,Alpha_day_1,Alpha _day_10, Alpha _day_30
atilla,#DIV/0!,1.937,1.2142,2.0489,1.745,1.08275,1.5665,1.7907
beat-VII,#DIV/0!,#DIV/0!,#DIV/0!,1.80555,1.807,2.3172,#DIV/0!,1.8351
,1.0752,#DIV/0!,0.744895,1.1547,1.39425,0.89207,1.278335,#DIV/0!
l(3)neo43,#DIV/0!,#DIV/0!,2.656,#DIV/0!,1.8308,2.5036,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.8818,#DIV/0!,#DIV/0!,#DIV/0!
RpII215,2.01482,0.649265,1.23374,1.5475,1.8902,2.63835,1.025365,#DIV/0!
CG42487-RA,#DIV/0!,1.9159,#DIV/0!,1.0617,1.9211,#DIV/0!,1.7722,#DIV/0!
RpS29,0.88578,0.639355,1.15652,1.05527,1.945,1.164915,0.711035,2.525
Rsf1,0.86666,#DIV/0!,#DIV/0!,#DIV/0!,1.9584,#DIV/0!,#DIV/0!,#DIV/0!
Ect3,0.70157,1.6497,0.55712,#DIV/0!,2.0159,0.618315,1.7328,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.0463,#DIV/0!,#DIV/0!,#DIV/0!
,0.972855,1.65675,1.200145,#DIV/0!,2.2221,1.1351,1.89125,#DIV/0!
RnpS1,0.80724,2.0348,1.04486,1.5937,2.0003,0.79896,#DIV/0!,#DIV/0!
mRpL28,1.1076,2.0737,0.451415,2.07215,2.4426,0.79917,1.94905,#DIV/0!
CG10635,0.911595,2.5187,0.856475,2.1133,2.61,1.0732,2.0391,#DIV/0!
Sh,#DIV/0!,0.40391,1.7362,0.41748,2.45505,#DIV/0!,0.3736,#DIV/0!
,#DIV/0!,0.30321,#DIV/0!,0.33402,3.6153,#DIV/0!,#DIV/0!,#DIV/0!
CG7280,1.1368,#DIV/0!,#DIV/0!,0.8192,4.8996,1.0661,#DIV/0!,#DIV/0!
Prosbeta1,0.657425,0.785575,0.48584,0.99397,#DIV/0!,0.619205,0.713085,#DIV/0!
yrt,#DIV/0!,#DIV/0!,1.0123,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG34242-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Nup75,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
spz,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
laccase2,#DIV/0!,#DIV/0!,0.35179,#DIV/0!,#DIV/0!,1.102,#DIV/0!,#DIV/0!
CG17508-RA,1.3145,#DIV/0!,#DIV/0!,1.0231,#DIV/0!,1.5848,#DIV/0!,0.837245
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG8245-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
vlc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hsepi,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG3270-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.51651
l(2)01289,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Eb1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.870705,0.96458
koi,#DIV/0!,0.64119,0.59938,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG1383,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
cn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG8726-RB,0.20287,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Asap1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mal-A6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.81025,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG8586-RA,0.36437,#DIV/0!,#DIV/0!,0.44004,#DIV/0!,0.22657,#DIV/0!,0.46122
sec31,0.23675,0.461495,0.383,#DIV/0!,#DIV/0!,0.2308,0.44896,0.29072
CG8243-RA,#DIV/0!,#DIV/0!,2.31147,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.379415,0.34152,0.19547,0.36087,#DIV/0!,0.359175,#DIV/0!,#DIV/0!
Ance-4,0.251935,#DIV/0!,0.553265,0.89296,#DIV/0!,0.27432,1.5116,#DIV/0!
Pmm45A,0.30053,0.22856,0.346555,0.18326,0.50153,0.168795,#DIV/0!,0.28998
Su(var)2-10,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hydr1,#DIV/0!,#DIV/0!,#DIV/0!,0.33077,#DIV/0!,#DIV/0!,#DIV/0!,0.33786
alc,0.76319,0.79032,#DIV/0!,0.67718,#DIV/0!,0.58941,0.62753,0.7932
Rme-8,0.29894,0.45923,0.23826,0.530265,#DIV/0!,1.067455,0.3664,0.856085
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Pkn,0.24552,0.2165,0.35755,0.28096,#DIV/0!,0.24678,#DIV/0!,#DIV/0!
GstT2,#DIV/0!,#DIV/0!,#DIV/0!,0.98543,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,1.1343,1.06352,0.761215,0.77111,#DIV/0!,0.405385,0.541795,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ccs,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CAP,#DIV/0!,#DIV/0!,0.48449,0.26658,#DIV/0!,0.87441,#DIV/0!,#DIV/0!
CG12895,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
nclb,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG18004-RB;CG18004-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.44115,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.30236,0.8509,0.27358,0.9928,#DIV/0!,0.29813,#DIV/0!,#DIV/0!
rho-7,0.66897,0.80779,0.77208,0.79199,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mppe,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Prp8,0.44217,0.542645,0.285735,0.616915,#DIV/0!,0.6011,#DIV/0!,#DIV/0!
RpS11,0.20993,0.55336,0.16467,#DIV/0!,#DIV/0!,0.20658,#DIV/0!,#DIV/0!
garz,0.861795,#DIV/0!,1.7603,#DIV/0!,#DIV/0!,0.21244,#DIV/0!,#DIV/0!
Cpr49Ag,#DIV/0!,#DIV/0!,#DIV/0!,1.7924,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Dyb,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG8545-RA,#DIV/0!,#DIV/0!,1.3672,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG4646,1.9905,#DIV/0!,1.1953,1.586,2.3516,1.4997,2.0271,#DIV/0!
CG4679,0.278985,0.57458,0.295885,0.386955,#DIV/0!,0.29639,0.483345,0.46767
CG10799-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mip120,0.47888,#DIV/0!,#DIV/0!,0.73118,#DIV/0!,#DIV/0!,1.44406,0.54142
mRpL53,1.83315,#DIV/0!,1.659745,2.0664,#DIV/0!,2.51109,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Prosap,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
cg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BcDNA.GH03482;CG10249-RD,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Khc-73,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
eIF2B-gamma,0.55496,0.2661,0.2515,#DIV/0!,#DIV/0!,0.21145,#DIV/0!,#DIV/0!
CG8192-RA,0.58372,#DIV/0!,0.558565,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,1.4961,2.0699,0.90523,#DIV/0!,#DIV/0!,1.1598,#DIV/0!,#DIV/0!
Jhedup,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,0.6022,#DIV/0!,0.49536,#DIV/0!,0.85104,#DIV/0!,#DIV/0!
clu,0.13556,0.213875,0.273465,0.36078,#DIV/0!,0.17566,0.25614,0.23457
Sema-2b,#DIV/0!,0.8431,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Syn2,0.27473,#DIV/0!,0.48343,#DIV/0!,#DIV/0!,#DIV/0!,0.3366,0.23084
CG8303,#DIV/0!,#DIV/0!,0.34392,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ehbp1,0.66363,0.89445,1.0788,0.70114,#DIV/0!,0.99156,#DIV/0!,#DIV/0!
RhoGEF2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
l(2)k01209,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG4853-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Dcr-2,0.94366,#DIV/0!,0.22555,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG4975-RB;CG4984-RC,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.143835,0.20407
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Muc55B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
GstE8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.51281
mRpS28,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.62716,#DIV/0!,0.92071,#DIV/0!,#DIV/0!,0.57767,#DIV/0!,#DIV/0!
CG15099,#DIV/0!,#DIV/0!,0.21351,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG15111-RB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
hppy,0.55611,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
par-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
par-1,0.65104,#DIV/0!,0.55378,0.77422,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
par-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,3.0522,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG17041,1.9605,#DIV/0!,#DIV/0!,1.2705,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG4495,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Galpha49B;Galphaq,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Slob,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG6043-RH,0.382165,#DIV/0!,0.22739,0.60789,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Syx5,1.63455,2.33445,1.53695,2.57205,#DIV/0!,1.5662,2.0353,1.98275
,1.0298,#DIV/0!,#DIV/0!,0.45015,#DIV/0!,#DIV/0!,#DIV/0!,0.615285
orb2,0.2055,#DIV/0!,0.277515,#DIV/0!,#DIV/0!,0.43416,#DIV/0!,#DIV/0!
bol,#DIV/0!,#DIV/0!,0.40768,#DIV/0!,#DIV/0!,0.41598,#DIV/0!,#DIV/0!
Trl,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ama,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Timp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CtBP,#DIV/0!,#DIV/0!,0.57476,#DIV/0!,#DIV/0!,0.259005,#DIV/0!,#DIV/0!
Syp,0.23634,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Rb97D,#DIV/0!,0.83474,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hrb98DE,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG7816,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG3774;Efr,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Klp10A,0.35663,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ari-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
car,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG10187,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Not1,0.67669,#DIV/0!,0.32239,#DIV/0!,#DIV/0!,0.20748,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG5544,0.38575,#DIV/0!,0.96911,0.52373,#DIV/0!,0.319645,#DIV/0!,0.44262
,0.46752,#DIV/0!,3.5177,0.74888,#DIV/0!,0.69531,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.7491,#DIV/0!,#DIV/0!,0.33992,#DIV/0!,#DIV/0!
Vrp1,#DIV/0!,1.2613,#DIV/0!,#DIV/0!,#DIV/0!,0.94181,#DIV/0!,#DIV/0!
Cda5,#DIV/0!,#DIV/0!,0.39492,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG7337-RB;CG7337-RA,0.3779,#DIV/0!,0.33036,#DIV/0!,#DIV/0!,0.54545,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG34310-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.38435,#DIV/0!,#DIV/0!,0.33412
Lar,7.5334,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
RtGEF,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG34039-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.60515,#DIV/0!,#DIV/0!
enc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cip4,0.38893,0.32313,0.30552,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
sif,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ect4,0.35635,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
GAPcenA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Argk,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.83306,1.91495,0.7447,1.4242,#DIV/0!,1.425225,1.7745,2.3487
,#DIV/0!,0.4366,#DIV/0!,#DIV/0!,#DIV/0!,0.35267,#DIV/0!,#DIV/0!
CG12355-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
l(3)72Do,1.5246,1.43625,#DIV/0!,1.0064,#DIV/0!,1.46645,1.20025,0.94247
Abl,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Shal,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.25189,#DIV/0!,#DIV/0!,#DIV/0!
Ten-m,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ArfGAP3,0.513685,0.85194,0.48426,0.649135,#DIV/0!,0.55521,0.95592,0.642475
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.19988,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.34885,#DIV/0!
pyd,#DIV/0!,#DIV/0!,0.24486,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,1.204535,#DIV/0!,#DIV/0!,0.17964,0.43316,1.76865,#DIV/0!,0.39704
Dh44,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.1473
Pnn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
cu,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
NijC,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.53138,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.32084,#DIV/0!,#DIV/0!
btsz,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.49259,0.97879,#DIV/0!,0.64951,#DIV/0!,#DIV/0!,0.554185,0.516215
Efa6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Pli,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG6422-RB,0.68305,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CHKov1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
LpR1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
sda,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
woc,0.34179,#DIV/0!,0.61875,#DIV/0!,#DIV/0!,0.301605,1.787,0.76795
Hayan,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Sec16,#DIV/0!,#DIV/0!,0.56741,#DIV/0!,#DIV/0!,#DIV/0!,0.46074,#DIV/0!
Rnp4F,0.63829,0.59014,0.4905,#DIV/0!,#DIV/0!,0.40436,0.823875,#DIV/0!
CG14445-RB,#DIV/0!,#DIV/0!,1.0172,0.33349,#DIV/0!,0.35829,#DIV/0!,0.319
,#DIV/0!,#DIV/0!,0.3428,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Nup153,0.22348,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG40498-RF,0.96346,1.4339,1.797,1.50385,#DIV/0!,1.2926,1.4817,1.0643
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,4.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Gfat1,0.214725,0.13393,0.28338,#DIV/0!,#DIV/0!,0.28231,#DIV/0!,#DIV/0!
how,#DIV/0!,#DIV/0!,0.294555,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Sfp87B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG9801;CG9801-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG8909-RB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
metro,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mbl,1.8785,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.7773,#DIV/0!,#DIV/0!
Jabba,0.42064,0.477705,0.71896,0.433865,#DIV/0!,#DIV/0!,0.66277,0.64942
tn,0.15329,0.29365,0.232835,#DIV/0!,#DIV/0!,0.2429,#DIV/0!,#DIV/0!
